Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс
Видеокарта SAPPHIRE RX580 8 Гб V2,9899,Retail,игровая,нет,8192.0,GDDR5,1284.0,256.0,1340.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,2,8.0
"Видеокарта ASUS Dual GeForce RTX 3060 V2 OC Edition (DUAL-RTX3060-O12G-V2), Retail",36500,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6,15000.0,192.0,1837.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE GeForce RTX 3070 Ti GAMING OC 8G (GV-N307TGAMING OC-8GD), Retail",62000,Retail,игровая,нет,8192.0,GDDR6X,19000.0,256.0,1830.0,"выход DisplayPort x 2, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,8.0
Видеокарта БУ AMD RADEON RX 580 8Gb OC ASRock PHANTOM Gaming D 8192MB 256BIT GDDR5 HDMI DVI DP (Гарантия 6 мес),8700,OEM,игровая,необходимость дополнительного питания,8192.0,GDDR5,8000.0,256.0,1424.0,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,6 pin,7680x4320,5,14.0
"Видеокарта MSI GeForce RTX 3050 GAMING X 8G, Retail",30734,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,128.0,1550.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта MSI GeForce RTX 3060 GAMING X 12G, Retail",37500,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",12288.0,GDDR6,15000.0,192.0,1837.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,8.0
"Видеокарта Palit GeForce RTX 4080 GameRock OmniBlack 16GB (NED4080019T2-1030Q), Retail",107854,Retail,игровая,необходимость дополнительного питания,16384.0,GDDR6X,22400.0,256.0,2505.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,5.0
"Видеокарта MSI GeForce RTX 2060 SUPER VENTUS GP OC 8GB, Bulk",19700,Bulk,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,256.0,1665.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,поддержка CUDA,8 pin,7680x4320,4,12.0
Видеокарта БУ AMD RADEON RX 590 8Gb OC ASRock PHANTOM Gaming X 8192MB 256BIT GDDR5 HDMI DVI DP (Гарантия 6 мес),9800,OEM,игровая,необходимость дополнительного питания,8192.0,GDDR5,8000.0,256.0,1591.0,"выход DVI, выход DisplayPort x 2, выход HDMI, выход HDMI x 2",PCI Express 3.0,нет,8 pin,7680x4320,5,12.0
"Видеокарта Palit GeForce GTX 1070 1506MHz PCI-E 3.0 8192MB 8000MHz 256 bit DVI HDMI HDCP JetStream, Retail",13390,Retail,игровая,нет,8192.0,GDDR5,8000.0,256.0,1506.0,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,4,16.0
"Видеокарта GIGABYTE GeForce RTX 3060 GAMING OC 12G (GV-N3060GAMING OC-12GD) (rev. 2.0), Retail",39900,Retail,игровая,Low Hash Rate,12288.0,GDDR6,15000.0,192.0,1837.0,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта ASUS TUF Gaming GeForce RTX 3090 OC 24GB (TUF-RTX3090-O24G-GAMING), Retail",106500,Retail,игровая,необходимость дополнительного питания,24576.0,GDDR6X,19500.0,384.0,1740.0,"выход DisplayPort x 3, выход HDMI, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта ASUS TUF Gaming GeForce GTX 1650 OC 4 GB (TUF-GTX1650-O4GD6-P-GAMING), Retail",15051,Retail,игровая,нет,4096.0,GDDR6,12000.0,128.0,1755.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,6 pin,7680x4320,3,12.0
"Видеокарта GIGABYTE GeForce RTX 3050 GAMING OC 8G, GV-N3050GAMING OC-8GD, Retail",28088,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,128.0,1552.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
Видеокарта БУ AMD SAPPHIRE PULSE RADEON RX580 8G OC Lite 8192MB 256BIT GDDR5 2xHDMI 2xDP (Гарантия 6 мес),9900,OEM,игровая,необходимость дополнительного питания,8192.0,GDDR5,8000.0,256.0,1350.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,нет,8 pin,5120x2880,4,14.0
"Видеокарта MSI GeForce RTX 3060 Ti GAMING X 8G LHR, Retail",43500,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1770.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin + 6 pin,7680x4320,4,8.0
"Видеокарта MSI Radeon RX 6650 XT MECH 2X 8G OC, Retail",38580,Retail,игровая,необходимость дополнительного питания,8000.0,GDDR6,17500.0,128.0,2447.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,7.0
"Видеокарта MSI GeForce RTX 3060 VENTUS 2X 12G OC LHR, Retail",36000,Retail,игровая,нет,12288.0,GDDR6,15000.0,192.0,1807.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
"Видеокарта MSI GeForce GTX 1660 SUPER VENTUS XS OC 6GB, Retail",20600,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR6,14000.0,192.0,1815.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,12.0
"Видеокарта GIGABYTE GeForce RTX 3060 WINDFORCE OC 12GB, GV-N3060WF2OC-12GD, Retail",30963,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",12288.0,GDDR6,15000.0,192.0,1792.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE GeForce RTX 4070 Ti GAMING OC 12GB (GV-N407TGAMING OC-12GD), Retail",93255,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6X,21000.0,192.0,2640.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4.0
"Видеокарта GIGABYTE GeForce RTX 4090 Gaming OC 24G, GV-N4090GAMING OC-24GD, Retail",180390,Retail,игровая,необходимость дополнительного питания,24576.0,GDDR6X,21000.0,384.0,2535.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4.0
"Видеокарта Sinotex Ninja Radeon RX 550 4GB (AHRX55045F), Retail",7290,Retail,игровая,нет,4096.0,GDDR5,6000.0,128.0,1071.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,14.0
"Видеокарта MSI GeForce RTX 2060 SUPER VENTUS OC 8GB, Bulk",33190,Bulk,игровая,нет,8192.0,GDDR6,14000.0,256.0,1665.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,12.0
Видеокарта игровая от TERABYTE AMD Radeon RX 580 8Gb GDDR5 Новая,12699,OEM,игровая,"внешняя видеокарта, необходимость дополнительного питания",8192.0,GDDR5,7000.0,2048.0,1244.0,выход HDMI,PCI Express 3.0,нет,6 pin,3840x2160,1,150.0
Видеокарта Palit GeForce RTX 3050 8 ГБ (PA-RTX3050 DUAL),23177,Retail,игровая,нет,8192.0,GDDR6,14000.0,128.0,1552.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
"Видеокарта Palit GeForce GTX 1650 GP OC 4GB (NE61650S1BG1-1175A), Retail",17680,Retail,игровая,нет,4096.0,GDDR6,12000.0,128.0,1410.0,"выход DisplayPort, выход DisplayPort x 2, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,нет,6 pin,7680x4320,3,12.0
"Видеокарта MSI GeForce GTX 1660 SUPER VENTUS XS OCV1 6GB, Retail",20600,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR6,14000.0,192.0,1815.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",8 pin,7680x4320,3,12.0
"Видеокарта MSI Radeon RX 550 AERO ITX 4G OC, Retail",10369,Retail,игровая,нет,4096.0,GDDR5,6000.0,128.0,1203.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,14.0
"Видеокарта AFOX Radeon RX 550 4096Mb ATX Dual Fan (AFRX550-4096D5H4-V6), Retail",7690,Retail,игровая,нет,4096.0,GDDR5,6000.0,128.0,1183.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка HDCP,8 pin,3840x2160,3,14.0
"Видеокарта MSI GeForce RTX 3070 VENTUS 3X PLUS 8G OC LHR, Retail",52990,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1755.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
Видеокарта Palit RTX4080 GAMINGPRO 16GB NED4080019T2-1032A GDDR6X 256bit 3 DP HDMI,99566,Retail,игровая,нет,16000.0,GDDR6X,22400.0,256.0,2205.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,16 pin,7680x4320,4,4.0
"Видеокарта Palit GeForce RTX 3060 Dual 12 GB (NE63060019K9-190AD), Retail",35409,Retail,игровая,нет,12288.0,GDDR6,15000.0,192.0,1320.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
"Видеокарта AFOX Radeon RX 560 4GB (AFRX560-4096D5H4-V2), Retail",7709,Retail,игровая,нет,4096.0,GDDR5,7000.0,128.0,1175.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка HDCP,8 pin,4096x2160,3,14.0
Asus RX 470 Mining Edition 4GB [MINING-RX470-4G] OEM,4999,OEM,игровая,нет,4096.0,GDDR5,7000.0,256.0,926.0,выход DVI,PCI Express 3.0,нет,8 pin,2560x1600,1,14.0
"Видеокарта MSI GeForce RTX 3070 Ti GAMING X TRIO 8G, Retail",65499,Retail,игровая,нет,8192.0,GDDR6X,19000.0,256.0,1830.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE GeForce RTX 4080 16GB EAGLE OC (GV-N4080EAGLE OC-16GD), Retail",112013,Retail,игровая,необходимость дополнительного питания,16384.0,GDDR6X,22400.0,256.0,2520.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",16 pin,7680x4320,4,7.0
"Видеокарта Sinotex Ninja Radeon R5 230 1GB (AKR523013F), Retail",2590,Retail,игровая,низкопрофильная карта (Low Profile),1024.0,GDDR3,1333.0,64.0,625.0,"выход HDMI, выход VGA",PCI Express 2.1,поддержка HDCP,8 pin,2560x1600,2,40.0
"Видеокарта ASUS GeForce GT730 2GB (GT730-4H-SL-2GD5), Retail",7999,Retail,игровая,пассивное охлаждение,2048.0,GDDR5,5010.0,64.0,902.0,выход HDMI x 4,PCI Express 2.0,поддержка HDCP,8 pin,3840x2160,4,28.0
"Видеокарта Palit GeForce GTX 1650 StormX 4GB (NE51650006G1-1170F), Retail",14778,Retail,игровая,нет,4096.0,GDDR5,8000.0,128.0,1485.0,"выход DVI, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
"Видеокарта GIGABYTE AORUS GeForce RTX 4080 16GB MASTER (GV-N4080AORUS M-16GD), Retail",129499,Retail,игровая,необходимость дополнительного питания,16384.0,GDDR6X,22400.0,256.0,2550.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4.0
Видеокарта MSI nVidia GeForce RTX 3060 Ti GAMING Z TRIO LHR 8192Mb,50489,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1845.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта MSI GeForce 210 LP 1Gb (N210-1GD3/LP), Retail",1999,Retail,игровая,низкопрофильная карта (Low Profile),1024.0,GDDR3,1600.0,64.0,460.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,поддержка HDCP,8 pin,2560x1600,2,28.0
"Видеокарта Palit GeForce GTX 1080 Ti 1505MHz PCI-E 3.0 11264MB 11000MHz 352 bit DVI HDMI HDCP Super JetStream, Retail",22000,Retail,игровая,нет,11264.0,GDDR5X,11000.0,352.0,1505.0,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,8 pin + 8 pin,7680x4320,4,16.0
"Видеокарта Colorful GeForce RTX 2060 SUPER NB 8G V2-V, Retail",21900,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,256.0,1470.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка трассировки лучей",8 pin,7680x4320,3,12.0
"Видеокарта Palit GeForce GTX 1630 Dual (NE6163001BG6-1175D), Retail",13320,Retail,игровая,необходимость дополнительного питания,4096.0,GDDR6,12000.0,64.0,1740.0,"выход DisplayPort x 2, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",6 pin,7680x4320,3,12.0
"Видеокарта GIGABYTE AORUS GeForce RTX 3060 Ti ELITE 8G (GV-N306TAORUS E-8GD) rev. 2.0, Retail",50642,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1785.0,"выход DisplayPort x 2, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin + 6 pin,7680x4320,4,8.0
"Видеокарта ZOTAC GAMING GeForce RTX 3070 Twin Edge OC White Edition LHR 8GB (ZT-A30700J-10PLHR), Retail",61629,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1755.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE GeForce RTX 3060 EAGLE OC 12G (GV-N3060EAGLE OC-12GD) (rev. 2.0), Retail",34576,Retail,игровая,Low Hash Rate,12288.0,GDDR6,15000.0,192.0,1807.0,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,поддержка CUDA,8 pin,7680x4320,4,8.0
