Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс,TDP,SLI/NVLink/CrossFire
Видеокарта SAPPHIRE RX580 8 Гб V2,9899,Retail,игровая,нет,8192 МБ,GDDR5,1284 МГц,256 бит,1340 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,не поддерживается,,,
"Видеокарта ASUS Dual GeForce RTX 3060 V2 OC Edition (DUAL-RTX3060-O12G-V2), Retail",36500,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6,15000 МГц,192 бит,1837 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,170 Вт,
"Видеокарта GIGABYTE GeForce RTX 3070 Ti GAMING OC 8G (GV-N307TGAMING OC-8GD), Retail",62000,Retail,игровая,,8192 МБ,GDDR6X,19000 МГц,256 бит,1830 МГц,"выход DisplayPort x 2, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,290 Вт,
Видеокарта БУ AMD RADEON RX 580 8Gb OC ASRock PHANTOM Gaming D 8192MB 256BIT GDDR5 HDMI DVI DP (Гарантия 6 мес),8700,OEM,игровая,необходимость дополнительного питания,8192 МБ,GDDR5,8000 МГц,256 бит,1424 МГц,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,,6 pin,7680x4320,5,14 нм,,
"Видеокарта MSI GeForce RTX 3050 GAMING X 8G, Retail",30734,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,128 бит,1550 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,130 Вт,
"Видеокарта MSI GeForce RTX 3060 GAMING X 12G, Retail",37500,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",12288 МБ,GDDR6,15000 МГц,192 бит,1837 МГц,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,8 нм,170 Вт,
"Видеокарта Palit GeForce RTX 4080 GameRock OmniBlack 16GB (NED4080019T2-1030Q), Retail",107854,Retail,игровая,необходимость дополнительного питания,16384 МБ,GDDR6X,22400 МГц,256 бит,2505 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,5 нм,340 Вт,
"Видеокарта MSI GeForce RTX 2060 SUPER VENTUS GP OC 8GB, Bulk",19700,Bulk,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,256 бит,1665 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,поддержка CUDA,8 pin,7680x4320,4,12 нм,184 Вт,
Видеокарта БУ AMD RADEON RX 590 8Gb OC ASRock PHANTOM Gaming X 8192MB 256BIT GDDR5 HDMI DVI DP (Гарантия 6 мес),9800,OEM,игровая,необходимость дополнительного питания,8192 МБ,GDDR5,8000 МГц,256 бит,1591 МГц,"выход DVI, выход DisplayPort x 2, выход HDMI, выход HDMI x 2",PCI Express 3.0,,8 pin,7680x4320,5,12 нм,225 Вт,
"Видеокарта Palit GeForce GTX 1070 1506MHz PCI-E 3.0 8192MB 8000MHz 256 bit DVI HDMI HDCP JetStream, Retail",13390,Retail,игровая,,8192 МБ,GDDR5,8000 МГц,256 бит,1506 МГц,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,4,16 нм,150 Вт,
