Видеокарта,Цена,комплектация,область применения,объем видеопамяти,тип памяти,шина обмена с памятью,разъемы и интерфейсы,техпроцесс,тип подключения,TDP,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,поддержка технологий,особенности,частота памяти,частота видеопроцессора,SLI/NVLink/CrossFire
"Видеокарта GIGABYTE Radeon RX 6700 XT GAMING OC 12G (GV-R67XTGAMING OC-12GD), Retail",46390,Retail,игровая,12288 МБ,GDDR6,192 бит,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",7 нм,PCI Express 4.0,250 Вт,8 pin + 6 pin,7680x4320,4,,,,,
Видеокарта PNY RTX4080 16GB OC XLR8 Gaming Verto TF GDDR6X 256-bit HDMI DPx3,137337,,игровая,,GDDR6X,256 бит,"выход DisplayPort x 3, выход HDMI",5 нм,PCI Express 4.0,,16 pin,7680x4320,4,поддержка CUDA,,,,
"Видеокарта GIGABYTE AORUS GeForce RTX 4070 Ti MASTER 12G (GV-N407TAORUS M-12GD), Retail",99950,Retail,игровая,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",4 нм,PCI Express 4.0,,16 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,21000 МГц,2670 МГц,
"Видеокарта KFA2 GeForce RTX 3060 Ti CORE, LHR, 36ISL6MD1VQK",38990,Retail,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,,8 pin,7680x4320,4,поддержка трассировки лучей,Low Hash Rate,14000 МГц,1665 МГц,
Видеокарта Gigabyte Gaming GV-N306TXGAMING OC-8GD,47068,,,8192 МБ,GDDR6X,,,,PCI Express 4.0,,,,,,,,,
Видеокарта Sapphire Radeon HD 5750 700Mhz PCI-E 2.1 1024Mb 4600Mhz 128 bit DVI HDMI HDCP,1755,,,,,,,,,,,,,,,,,
Видеокарта Gigabyte RTX3060 WINDFORCE OC 12GB GDDR6 192-bit HDMIx2 DPx2,39770,"Видеокарта, диск с ПО, инструкция, кабель-адаптер (опция)",игровая,,GDDR6,192 бит,"выход DisplayPort x 2, выход HDMI x 2",,PCI Express 4.0,,8 pin,7680x4320,4,,,15000 МГц,1792 МГц,
Видеокарта Ninja R9 360 (768SP) (AHR936045F),8090,,игровая,4096 МБ,GDDR5,128 бит,"выход DVI, выход DisplayPort, выход HDMI",,PCI Express 3.0,,6 pin,4096x2160,3,,,4000 МГц,,
Видеокарта Gigabyte RTX3050 WINDFORCE OC 8GB GDDR6 128bit HDMI DP DVI-D (310691),32000,,игровая,,GDDR6,128 бит,,,,,,,,,,,,
"Видеокарта KFA2 GeForce GT 710 2GB (71GPF4HI00GK), Retail",4590,Retail,игровая,2048 МБ,GDDR3,64 бит,"выход DVI, выход HDMI, выход VGA",28 нм,PCI Express 2.0,19 Вт,,4096x2160,3,,,1600 МГц,954 МГц,
"Видеокарта GIGABYTE GeForce RTX 2060 D6 rev. 2.0 6G (GV-N2060D6-6GD rev. 2.0), Retail",28990,Retail,игровая,6144 МБ,GDDR6,192 бит,"выход DisplayPort, выход DisplayPort x 3, выход HDMI",12 нм,PCI Express 3.0,,8 pin,7680x4320,4,,,14000 МГц,1680 МГц,
Видеокарта Palit GeForce RTX 3080 GameRock 10 ГБ LHR,78990,Retail,игровая,10240 МБ,GDDR6X,320 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 2.0,,8 pin+8 pin+8 pin,7680x4320,4,поддержка трассировки лучей,,19000 МГц,1440 МГц,
"Видеокарта GIGABYTE GeForce RTX 3080 GAMING OC 12G (GV-N3080GAMING OC-12GD), Retail",99500,Retail,игровая,12288 МБ,GDDR6X,320 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,350 Вт,8 pin + 8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,19000 МГц,1710 МГц,
"Видеокарта Palit GeForce 210 1GB (NEAG2100HD06-1196F), Retail",2750,Retail,игровая,1024 МБ,GDDR3,64 бит,"выход DVI, выход HDMI, выход VGA",40 нм,PCI Express 2.0,,,2560x1600,2,,,1000 МГц,589 МГц,
Видеокарта Sapphire AMD Radeon RX 7900 XT 20GB (21323-01-20G),102406,,игровая,20000 МБ,GDDR6,320 бит,"выход DisplayPort x 2, выход HDMI, интерфейс USB Type-C",5 нм,PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,"поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,,2000 МГц,
"Видеокарта AFOX GeForce GTX 750 2GB, AF750-2048D5H6-V3, Retail",8137,Retail,игровая,2048 МБ,GDDR5,128 бит,"выход DVI, выход DisplayPort, выход HDMI",28 нм,PCI Express 3.0,69 Вт,6 pin,4096x2160,3,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",необходимость дополнительного питания,5000 МГц,1076 МГц,
"Видеокарта PNY Quadro RTX 8000 48GB (VCQRTX8000), Retail",603820,Retail,профессиональная,49152 МБ,GDDR6,384 бит,"выход DisplayPort x 4, интерфейс USB Type-C",12 нм,PCI Express 3.0,295 Вт,8 pin + 6 pin,7680x4320,4,,,14000 МГц,1395 МГц,
"Видеокарта MSI GeForce RTX 3070 Ti VENTUS 3X 8G OC, Retail",142990,Retail,игровая,8192 МБ,GDDR6X,256 бит,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",8 нм,PCI Express 4.0,290 Вт,8 pin + 8 pin,7680x4320,4,,,19000 МГц,1800 МГц,
"Видеокарта Sapphire NITRO+ RX 7900 XT GAMING OC VAPOR-X 20480 МБ, RET (11323-01-40g)",106558,,,20480 МБ,GDDR6,320 бит,,,,,,,,,,,,
"Видеокарта GIGABYTE GeForce GTX 1650 OC 4G, GV-N1650OC-4GD, Retail",23664,Retail,игровая,4096 МБ,GDDR5,128 бит,"выход DisplayPort, выход HDMI, выход HDMI x 2, PCI-E",12 нм,PCI Express 3.0,75 Вт,,7680x4320,3,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",,8002 МГц,1710 МГц,
Видеокарта Ninja GTX1650 NK165DF46F PCIE (896SP) 4G 128BIT GDDR6 (DVI/HDMI/DP) TU117,14690,Retail,,,GDDR6,,выход DisplayPort,,,,,7680x4320,,,,,,
"Видеокарта Palit GeForce RTX 3050 Dual OC 8Gb, NE63050T19P1-190AD, Retail",31020,Retail,игровая,8192 МБ,GDDR6,128 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,140 Вт,8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей","Low Hash Rate, необходимость дополнительного питания",14000 МГц,1822 МГц,
"Видеокарта MSI GeForce GT 730 4GB (N730K-4GD3/OCV1), Retail",7799,Retail,игровая,4096 МБ,GDDR3,64 бит,"выход DVI, выход HDMI, выход VGA",40 нм,PCI Express 2.0,,,2560x1600,3,"поддержка CUDA, поддержка HDCP",,1600 МГц,1006 МГц,
"Видеокарта INNO3D GEFORCE RTX 4070 Ti X3 OC (N407T3-126XX-186148N), Retail",82700,Retail,игровая,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",5 нм,PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",необходимость дополнительного питания,21000 МГц,2310 МГц,
"Видеокарта ZOTAC GeForce GT 730 2GB Zone Edition (ZT-71113-20L), Retail",5539,Retail,игровая,2048 МБ,GDDR3,64 бит,"выход DVI, выход HDMI, выход VGA",40 нм,PCI Express 2.0,23 Вт,,4096x2160,3,,пассивное охлаждение,1600 МГц,902 МГц,
